Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Ubiquinone and other terpenoid-quinone biosynthesis	0.0032958256764104633	399.68	2284.210591570385	HPD	0.017814095087497	0	0
2	Phenylalanine metabolism	0.005089741453570572	249.725	1318.6799159042428	HPD	0.017814095087497	0	0
3	Tyrosine metabolism	0.010752747305294047	114.05142857142857	516.9488201244333	HPD	0.021937083991266766	0	0
4	Tryptophan metabolism	0.012535476566438152	97.33170731707317	426.23428554035564	ALDH8A1	0.021937083991266766	0	0
