Signature	AAH-CIS+AIS	AAH-MIA	AAH-Primary	CIS+AIS-MIA	CIS+AIS-Primary	MIA-Primary
SBS1	0.12105981997909955	0.5	0.2399787212444524	0.2	0.8169613217153913	0.3157894736842105
SBS2	0.4911188504806727	1.0	0.3008618029033998	1.0	1.0	1.0
SBS4	0.09193829092515304	0.8504362683123465	0.17061385024459097	0.5562984612747348	0.6996384614789686	0.5801100924453357
SBS5	0.28313087066234666	0.25	0.587562633103256	0.2	0.3680655063054846	0.10526315789473684
SBS10b	0.07338771233463506	0.5148719362740404	0.06590127335442116	0.2	1.0	0.1642790497559713
SBS13	0.4911188504806727	1.0	0.3008618029033998	1.0	1.0	1.0
SBS87	0.06712331475931275	0.36503027183830405	0.08509248410310197	0.08663681660312045	0.7386242576385298	0.09698050599105415
