Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	protein serine/threonine kinase activator activity (GO:0043539)	0.0036966143279881405	554.5	3105.387379264037	LTF	0.009435235353699355	0	0
2	cysteine-type endopeptidase inhibitor activity (GO:0004869)	0.003996041440723076	511.7692307692308	2826.220524641283	LTF	0.009435235353699355	0	0
3	iron ion binding (GO:0005506)	0.005392774079075333	376.3207547169811	1965.4086576567202	LTF	0.009435235353699355	0	0
4	protein kinase activator activity (GO:0030295)	0.006290156902466236	321.5483870967742	1629.8545813511064	LTF	0.009435235353699355	0	0
5	endopeptidase inhibitor activity (GO:0004866)	0.011467112696561406	174.42105263157896	779.3607241853069	LTF	0.013760535235873686	0	0
6	transition metal ion binding (GO:0046914)	0.044005807764983196	44.04054054054054	137.55770668997366	LTF	0.044005807764983196	0	0
